,school_name,district_name,county_name,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark12,pctbothbenchmark12,totnumbothbenchmark11,pctbothbenchmark11,year
2,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,31.0,30.39,14.0,13.73,219.0,174.0,42.0,24.14,12.0,6.9,14.0,13.73,11.0,6.32,2018-19
3,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,54.0,47.79,18.0,15.93,333.0,275.0,97.0,35.27,37.0,13.45,18.0,15.93,35.0,12.73,2018-19
5,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,68.0,64.15,36.0,33.96,187.0,183.0,91.0,49.73,47.0,25.68,36.0,33.96,44.0,24.04,2018-19
6,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,161.0,84.74,138.0,72.63,503.0,223.0,206.0,92.38,176.0,78.92,132.0,69.47,172.0,77.13,2018-19
9,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,17.0,25.0,6.0,8.82,79.0,79.0,22.0,27.85,10.0,12.66,6.0,8.82,6.0,7.59,2018-19
10,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,148.0,72.55,88.0,43.14,572.0,168.0,128.0,76.19,84.0,50.0,82.0,40.2,78.0,46.43,2018-19
13,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,45.0,66.18,30.0,44.12,163.0,122.0,72.0,59.02,36.0,29.51,29.0,42.65,36.0,29.51,2018-19
15,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,27.0,71.05,13.0,34.21,207.0,56.0,35.0,62.5,19.0,33.93,12.0,31.58,19.0,33.93,2018-19
17,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,150.0,80.65,70.0,37.63,509.0,226.0,172.0,76.11,91.0,40.27,67.0,36.02,86.0,38.05,2018-19
18,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,44.0,68.75,33.0,51.56,127.0,114.0,77.0,67.54,47.0,41.23,28.0,43.75,47.0,41.23,2018-19
20,Clovis East High,Clovis Unified,Fresno,584.0,237.0,161.0,67.93,103.0,43.46,635.0,191.0,162.0,84.82,134.0,70.16,94.0,39.66,128.0,67.02,2018-19
22,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,96.0,50.0,50.0,26.04,546.0,108.0,61.0,56.48,48.0,44.44,39.0,20.31,41.0,37.96,2018-19
23,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,121.0,62.69,82.0,42.49,307.0,315.0,194.0,61.59,117.0,37.14,76.0,39.38,110.0,34.92,2018-19
24,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,14.0,60.87,7.0,30.43,352.0,83.0,46.0,55.42,16.0,19.28,7.0,30.43,16.0,19.28,2018-19
25,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,43.0,91.49,33.0,70.21,91.0,41.0,39.0,95.12,32.0,78.05,32.0,68.09,32.0,78.05,2018-19
26,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,241.0,89.59,230.0,85.5,560.0,285.0,264.0,92.63,259.0,90.88,215.0,79.93,250.0,87.72,2018-19
27,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,78.0,87.64,64.0,71.91,380.0,89.0,83.0,93.26,77.0,86.52,62.0,69.66,77.0,86.52,2018-19
28,University High,Irvine Unified,Orange,633.0,205.0,189.0,92.2,185.0,90.24,551.0,268.0,263.0,98.13,264.0,98.51,179.0,87.32,259.0,96.64,2018-19
29,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,213.0,61.92,169.0,49.13,383.0,74.0,70.0,94.59,70.0,94.59,153.0,44.48,69.0,93.24,2018-19
30,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,117.0,46.99,60.0,24.1,291.0,54.0,47.0,87.04,32.0,59.26,58.0,23.29,31.0,57.41,2018-19
32,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112.0,67.47,50.0,30.12,686.0,637.0,269.0,42.23,113.0,17.74,46.0,27.71,107.0,16.8,2018-19
33,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,37.0,44.58,9.0,10.84,377.0,299.0,72.0,24.08,25.0,8.36,8.0,9.64,20.0,6.69,2018-19
34,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,352.0,37.77,185.0,19.85,1196.0,1058.0,393.0,37.15,193.0,18.24,158.0,16.95,165.0,15.6,2018-19
37,Mills High,San Mateo Union High,San Mateo,299.0,147.0,137.0,93.2,132.0,89.8,309.0,157.0,147.0,93.63,144.0,91.72,126.0,85.71,140.0,89.17,2018-19
38,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,71.0,82.56,53.0,61.63,336.0,56.0,45.0,80.36,41.0,73.21,51.0,59.3,40.0,71.43,2018-19
39,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,157.0,88.2,143.0,80.34,565.0,208.0,200.0,96.15,193.0,92.79,132.0,74.16,188.0,90.38,2018-19
41,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,10.0,58.82,6.0,35.29,38.0,17.0,14.0,82.35,5.0,29.41,6.0,35.29,5.0,29.41,2018-19
44,Lowell High,San Francisco Unified,San Francisco,678.0,423.0,415.0,98.11,386.0,91.25,711.0,565.0,560.0,99.12,546.0,96.64,385.0,91.02,543.0,96.11,2018-19
47,Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,138.0,92.62,121.0,81.21,391.0,176.0,173.0,98.3,160.0,90.91,119.0,79.87,160.0,90.91,2018-19
48,River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,30.0,90.91,22.0,66.67,267.0,17.0,15.0,88.24,9.0,52.94,22.0,66.67,9.0,52.94,2018-19
50,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,8.0,44.44,2.0,11.11,139.0,17.0,11.0,64.71,3.0,17.65,1.0,5.56,3.0,17.65,2018-19
51,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,25.0,20.0,80.0,11.0,44.0,100.0,39.0,32.0,82.05,25.0,64.1,11.0,44.0,23.0,58.97,2018-19
52,Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,77.0,47.0,61.04,18.0,23.38,242.0,34.0,24.0,70.59,14.0,41.18,18.0,23.38,14.0,41.18,2018-19
54,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,212.0,86.89,158.0,64.75,590.0,222.0,202.0,90.99,181.0,81.53,156.0,63.93,174.0,78.38,2018-19
55,Tranquillity High,Golden Plains Unified,Fresno,120.0,27.0,10.0,37.04,0.0,0.0,105.0,104.0,19.0,18.27,1.0,0.96,0.0,0.0,1.0,0.96,2018-19
56,Sierra High,Sierra Unified,Fresno,91.0,28.0,26.0,92.86,15.0,53.57,81.0,23.0,19.0,82.61,15.0,65.22,15.0,53.57,14.0,60.87,2018-19
58,Lakeside High,Lake Elsinore Unified,Riverside,387.0,112.0,68.0,60.71,41.0,36.61,421.0,140.0,99.0,70.71,59.0,42.14,36.0,32.14,54.0,38.57,2018-19
59,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,556.0,458.0,82.37,362.0,65.11,691.0,623.0,510.0,81.86,356.0,57.14,352.0,63.31,339.0,54.41,2018-19
60,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,118.0,79.0,6.0,7.59,0.0,0.0,41.0,39.0,4.0,10.26,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
61,Chino High,Chino Valley Unified,San Bernardino,432.0,354.0,174.0,49.15,84.0,23.73,462.0,383.0,191.0,49.87,97.0,25.33,77.0,21.75,87.0,22.72,2018-19
63,Claremont High,Claremont Unified,Los Angeles,591.0,263.0,234.0,88.97,181.0,68.82,565.0,314.0,298.0,94.9,268.0,85.35,175.0,66.54,261.0,83.12,2018-19
64,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,31.0,11.0,35.48,1.0,3.23,113.0,100.0,40.0,40.0,8.0,8.0,1.0,3.23,8.0,8.0,2018-19
65,Los Banos High,Los Banos Unified,Merced,303.0,95.0,62.0,65.26,36.0,37.89,304.0,80.0,55.0,68.75,31.0,38.75,34.0,35.79,27.0,33.75,2018-19
67,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,202.0,103.0,50.99,51.0,25.25,631.0,554.0,209.0,37.73,91.0,16.43,46.0,22.77,85.0,15.34,2018-19
68,Middle College High,San Bernardino City Unified,San Bernardino,67.0,50.0,38.0,76.0,26.0,52.0,70.0,67.0,55.0,82.09,44.0,65.67,23.0,46.0,41.0,61.19,2018-19
70,Bear Creek High,Lodi Unified,San Joaquin,450.0,173.0,125.0,72.25,109.0,63.01,540.0,114.0,96.0,84.21,87.0,76.32,100.0,57.8,82.0,71.93,2018-19
72,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,29.0,17.0,58.62,6.0,20.69,100.0,89.0,43.0,48.31,18.0,20.22,5.0,17.24,15.0,16.85,2018-19
73,Torrance High,Torrance Unified,Los Angeles,509.0,218.0,182.0,83.49,132.0,60.55,446.0,174.0,158.0,90.8,128.0,73.56,127.0,58.26,126.0,72.41,2018-19
74,El Capitan High,Merced Union High,Merced,373.0,142.0,91.0,64.08,46.0,32.39,388.0,106.0,81.0,76.42,57.0,53.77,44.0,30.99,57.0,53.77,2018-19
75,Merced High,Merced Union High,Merced,400.0,110.0,78.0,70.91,47.0,42.73,417.0,79.0,54.0,68.35,41.0,51.9,43.0,39.09,38.0,48.1,2018-19
